"TF1_effect_mean","TF2_effect_mean","Interaction_score_mean","num_TG","TF1_effect_sigma","TF2_effect_sigma","Interaction_score_sigma","TF_id","TF1_CoV","TF2_CoV","Interaction_CoV","TF1","TF2","rank","percentile"
0.0892367740354906,0.332499847219736,0.0638136239840472,46,0.0995102923864488,0.152803026942891,0.0253365525424068,"NFIB_TCF12",1.115126509917,0.459558186930263,0.397039863285945,"NFIB","TCF12",19,99.7501972127268
0.20800684168465,0.114306563137084,0.0624047330101166,28,0.184776099067033,0.0914585819401074,0.0259152338777138,"NFIA_MXI1",0.88831741095884,0.800116628740066,0.415276736678172,"NFIA","MXI1",20,99.7370496976071
0.0684170777272464,0.322671783429604,0.0622493562981952,13,0.0476231321718544,0.235126324792124,0.0202151142085597,"ATF7_TCF12",0.696070831345797,0.728685732272655,0.32474414854545,"ATF7","TCF12",21,99.7239021824875
0.0931902163634141,0.349166270122206,0.0617486607071213,33,0.0814358899343956,0.165234023326558,0.0222356456097469,"RFX3_TCF12",0.873867376987514,0.473224470590265,0.360099237054101,"RFX3","TCF12",22,99.7107546673679
0.131232995940321,0.180153058280408,0.0612113380540562,66,0.0996056869539724,0.117981163082146,0.019446863798429,"NFIX_RBPJ",0.758998803923278,0.654894034041365,0.317700354487519,"NFIX","RBPJ",23,99.6976071522482
0.14047658326948,0.100299010485194,0.0605305500694299,13,0.135392967451775,0.0977405724515447,0.0257992835843696,"NFIA_ZNF652",0.963811649604599,0.974491891582254,0.426219215830308,"NFIA","ZNF652",24,99.6844596371286
0.147809130566162,0.172540854051086,0.060053135764139,22,0.114967809604729,0.0948171890182892,0.0160743890384353,"ELF2_NFIX",0.777812636907889,0.549534714776685,0.267669436972752,"ELF2","NFIX",25,99.6713121220089
0.0940621848173388,0.266489829375652,0.0596105154177139,81,0.0815309724875693,0.169857348211726,0.0187874403182252,"MEF2A_TCF4",0.866777362719098,0.63738773299408,0.315169902265974,"MEF2A","TCF4",26,99.6581646068893
0.080194142958206,0.336543571837566,0.0589874453962776,38,0.0827119831401719,0.196645160127037,0.0231876056079225,"RORA_TCF12",1.03139680890758,0.584308174579986,0.393093910952546,"RORA","TCF12",27,99.6450170917697
0.125186513313067,0.191791488466237,0.0572699272785506,72,0.114195914945206,0.128573664578901,0.020446454850017,"MXI1_RBPJ",0.912206210741123,0.670382536822194,0.357019046847555,"MXI1","RBPJ",28,99.63186957665
0.0914013020141105,0.334994051371788,0.0559762729100885,37,0.082733117758488,0.193017708277336,0.0150439102312997,"NR3C1_TCF12",0.905163448828285,0.576182494844118,0.26875512514854,"NR3C1","TCF12",29,99.6187220615304
0.0795524862809779,0.316625974654512,0.0551328430243213,45,0.0743524192835949,0.190178737876087,0.0192725830043915,"RFX3_TCF4",0.934633507505769,0.600641618501454,0.349566282948433,"RFX3","TCF4",30,99.6055745464107
0.249615360284858,0.0812691539045903,0.0549546531878727,71,0.158312215402792,0.0886008104520095,0.021309715948346,"TCF4_NFIB",0.63422465357151,1.09021450569089,0.387769091645338,"TCF4","NFIB",31,99.5924270312911
0.134299533554325,0.179235144984978,0.0543287724482835,15,0.122118023802572,0.133374430426308,0.0161203934225296,"ATF7_RBPJ",0.909295963810436,0.744131015362451,0.296719264877095,"ATF7","RBPJ",32,99.5792795161715
0.150935909907221,0.135221886590848,0.0542322783951621,49,0.119276479299506,0.105145930170904,0.0169063690837826,"FOXP1_ZNF652",0.790245869076647,0.777580706953549,0.311739974496273,"FOXP1","ZNF652",33,99.5661320010518
0.101346246766882,0.15195668077196,0.0540975871925804,53,0.0965349758660352,0.0971879643628787,0.0183641134964652,"MXI1_ZNF708",0.952526402759509,0.639576778521028,0.339462708957635,"MXI1","ZNF708",34,99.5529844859322
